CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,JON,YANG,08/04/1966,M,M,jon24@adventure-works.com,90000,2,Bachelors,Professional,1
11001,MR.,EUGENE,HUANG,14/05/1965,S,M,eugene10@adventure-works.com,60000,3,Bachelors,Professional,0
11002,MR.,RUBEN,TORRES,12/08/1965,M,M,ruben35@adventure-works.com,60000,3,Bachelors,Professional,1
11003,MS.,CHRISTY,ZHU,15/02/1968,S,F,christy12@adventure-works.com,70000,0,Bachelors,Professional,0
11004,MRS.,ELIZABETH,JOHNSON,08/08/1968,S,F,elizabeth5@adventure-works.com,80000,5,Bachelors,Professional,1
11005,MR.,JULIO,RUIZ,05/08/1965,S,M,julio1@adventure-works.com,70000,0,Bachelors,Professional,1
11007,MR.,MARCO,MEHTA,09/05/1964,M,M,marco14@adventure-works.com,60000,3,Bachelors,Professional,1
11008,MRS.,ROBIN,VERHOFF,07/07/1964,S,F,rob4@adventure-works.com,60000,4,Bachelors,Professional,1
11009,MR.,SHANNON,CARLSON,01/04/1964,S,M,shannon38@adventure-works.com,70000,0,Bachelors,Professional,0
11010,MS.,JACQUELYN,SUAREZ,06/02/1964,S,F,jacquelyn20@adventure-works.com,70000,0,Bachelors,Professional,0
11011,MR.,CURTIS,LU,04/11/1963,M,M,curtis9@adventure-works.com,60000,4,Bachelors,Professional,1
11012,MRS.,LAUREN,WALKER,18/01/1968,M,F,lauren41@adventure-works.com,100000,2,Bachelors,Management,1
11013,MR.,IAN,JENKINS,06/08/1968,M,M,ian47@adventure-works.com,100000,2,Bachelors,Management,1
11014,MRS.,SYDNEY,BENNETT,09/05/1968,S,F,sydney23@adventure-works.com,100000,3,Bachelors,Management,0
11015,MS.,CHLOE,YOUNG,27/02/1979,S,F,chloe23@adventure-works.com,30000,0,Partial College,Skilled Manual,0
11016,MR.,WYATT,HILL,28/04/1979,M,M,wyatt32@adventure-works.com,30000,0,Partial College,Skilled Manual,1
11017,MRS.,SHANNON,WANG,26/06/1944,S,F,shannon1@adventure-works.com,20000,4,High School,Skilled Manual,1
11018,MR.,CLARENCE,RAI,09/10/1944,S,M,clarence32@adventure-works.com,30000,2,Partial College,Clerical,1
11019,MR.,LUKE,LAL,07/03/1978,S,M,luke18@adventure-works.com,40000,0,High School,Skilled Manual,0
11020,MR.,JORDAN,KING,20/09/1978,S,M,jordan73@adventure-works.com,40000,0,High School,Skilled Manual,0
11021,MS.,DESTINY,WILSON,03/09/1978,S,F,destiny7@adventure-works.com,40000,0,Partial College,Skilled Manual,0
11022,MR.,ETHAN,ZHANG,12/10/1978,M,M,ethan20@adventure-works.com,40000,0,Partial College,Skilled Manual,1
11023,MR.,SETH,EDWARDS,11/10/1978,M,M,seth46@adventure-works.com,40000,0,Partial College,Skilled Manual,1
11024,MR.,RUSSELL,XIE,17/09/1978,M,M,russell7@adventure-works.com,60000,0,Partial College,Skilled Manual,1
11025,NULL,ALEJANDRO,BECK,23/12/1945,M,NA,alejandro45@adventure-works.com,10000,2,Partial High School,Clerical,1
